aptitude	dsa	dbms	os	score_percentage	job_ready
3	0	3	0	30	0
4	3	3	5	75	1
2	3	3	1	45	0
4	4	4	2	70	1
4	0	4	1	45	0
1	2	1	1	25	0
2	3	0	5	50	0
2	0	3	4	45	0
2	3	1	3	45	0
4	5	0	3	60	1
3	3	5	2	65	1
2	2	2	2	40	0
5	1	4	3	65	1
4	4	5	4	85	1
1	4	0	3	40	0
3	2	5	4	70	1
5	3	2	2	60	1
5	0	0	0	25	0
1	3	5	5	70	1
3	2	4	2	55	0
4	4	4	2	70	1
0	3	1	1	25	0
3	4	5	1	65	1
1	0	3	1	25	0
5	4	5	5	95	1
4	4	0	1	45	0
3	1	0	4	40	0
0	1	5	3	45	0
0	5	2	0	35	0
2	1	4	2	45	0
2	4	0	4	50	0
1	2	4	0	35	0
3	4	0	4	55	0
3	2	1	4	50	0
5	2	3	2	60	1
5	1	0	3	45	0
5	3	4	1	65	1
2	0	1	5	40	0
3	1	0	3	35	0
3	1	2	5	55	0
0	3	3	2	40	0
2	0	0	2	20	0
4	4	1	2	55	0
2	5	2	0	45	0
4	5	5	5	95	1
0	4	1	3	40	0
1	1	1	3	30	0
3	0	2	4	45	0
0	1	1	4	30	0
3	2	2	4	55	0
5	1	0	2	40	0
1	1	2	3	35	0
1	4	2	5	60	1
0	4	3	2	45	0
1	4	2	0	35	0
4	5	2	4	75	1
1	2	5	2	50	0
3	4	0	2	45	0
3	0	3	0	30	0
3	5	5	1	70	1
3	3	4	3	65	1
4	0	0	5	45	0
2	0	0	1	15	0
5	4	4	4	85	1
0	3	2	2	35	0
3	3	5	0	55	0
1	5	1	0	35	0
3	3	3	3	60	1
1	2	1	1	25	0
5	4	4	3	80	1
5	3	0	2	50	0
5	5	0	3	65	1
1	2	3	5	55	0
3	1	0	0	20	0
5	1	0	0	30	0
4	2	3	4	65	1
1	5	5	4	75	1
1	2	5	2	50	0
3	4	3	5	75	1
1	4	4	1	50	0
1	1	0	3	25	0
5	3	0	2	50	0
3	5	4	4	80	1
5	1	5	3	70	1
5	3	2	4	70	1
3	3	2	3	55	0
0	4	2	1	35	0
5	0	5	2	60	1
4	0	5	3	60	1
4	2	4	5	75	1
1	4	0	0	25	0
4	3	4	5	80	1
1	5	4	5	75	1
0	0	5	0	25	0
3	3	2	5	65	1
3	0	1	3	35	0
3	0	0	3	30	0
4	0	5	3	60	1
0	5	2	0	35	0
4	4	1	5	70	1
4	5	1	0	50	0
0	1	5	3	45	0
0	3	3	5	55	0
0	4	0	5	45	0
0	4	1	4	45	0
3	4	5	4	80	1
2	4	5	1	60	1
2	5	2	2	55	0
0	4	3	4	55	0
2	2	0	0	20	0
2	3	4	4	65	1
0	4	2	1	35	0
2	3	1	5	55	0
4	2	1	1	40	0
1	2	2	5	50	0
1	3	5	5	70	1
0	0	1	2	15	0
3	1	3	4	55	0
0	0	0	0	0	0
3	0	3	0	30	0
1	5	1	3	50	0
0	0	4	5	45	0
5	4	0	0	45	0
4	5	0	2	55	0
2	5	2	5	70	1
3	2	2	2	45	0
5	0	4	0	45	0
2	2	5	0	45	0
2	3	0	3	40	0
0	1	4	0	25	0
2	5	2	5	70	1
4	3	2	5	70	1
5	3	0	5	65	1
2	4	3	3	60	1
0	1	1	3	25	0
